t,acc
2.48,-172.9
2.5,-101.2
2.52,-57.9
2.54,23.7
2.56,-67
2.58,-198
2.6,-164.1
2.62,-168.5
2.64,-148.1
2.66,-123.1
2.68,-100.1
2.7,-75.1
2.72,-52.3
2.74,-27.1
2.76,-4.4
2.78,18.8
2.8,-9.5
2.82,-43.3
2.84,-83.8
2.86,-95.1
2.88,-71.6
2.9,-59.9
2.92,-33.4
2.94,-10.8
2.96,18.5
2.98,42
3,67.3
3.02,-9.7
3.04,-37.2
3.06,-4
3.08,1.1
3.1,34.4
3.12,56.5
3.14,88.3
3.16,113
3.18,136.3
3.2,21.9
3.22,24.1
3.24,68.3
3.26,68.9
3.28,131.8
3.3,135.3
3.32,204
3.34,-93.1
3.36,-130.8
3.38,-69.2
3.4,-54.6
3.42,7.2
3.44,67.5
3.46,-106.7
3.48,-148.8
3.5,-107.1
3.52,-116.2
3.54,-76.2
3.56,-55.9
3.58,-21.5
3.6,-12.6
3.62,-67.4
3.64,-32.4
3.66,-33.7
3.68,-10.9
3.7,1.7
3.72,29.9
3.74,48.8
3.76,60.8
3.78,22.2
3.8,-3.2
3.82,-24.5
3.84,7.7
3.86,21.1
3.88,56.8
3.9,82.6
3.92,120.6
3.94,147.8
3.96,173.7
3.98,42.1
4,2.9
4.02,25.9
4.04,29.3
4.06,-5.5
4.08,-14.7
4.1,14.3
4.12,20.6
4.14,49.9
4.16,64.5
4.18,95.7
4.2,112.8
4.22,144.7
4.24,162.9
4.26,194.5
4.28,185.6
4.3,198.4
4.32,176.9
4.34,125
4.36,-120.7
4.38,-54.2
4.4,-38.4
4.42,-31.1
4.44,-111.8
4.46,-166.1
4.48,-246.4
4.5,-202.5
4.52,-183.5
4.54,-131.7
4.56,-96
4.58,-32.5
4.6,15.4
4.62,81.6
4.64,131.9
4.66,181.8
4.68,-5.8
4.7,-16.9
4.72,28.5
4.74,44.7
4.76,98.3
4.78,142.4
4.8,185.3
4.82,245.6
4.84,168.5
4.86,-138
4.88,-99.9
4.9,-108.9
4.92,-90.7
4.94,-46.9
4.96,-125
4.98,-211.1
5,-161.7
5.02,-169.2
5.04,-130.6
5.06,-111.1
5.08,-77.3
5.1,-51
5.12,-54.4
5.14,-120
5.16,-120.9
5.18,-115.8
5.2,-114.5
5.22,-71.7
5.24,-54.6
5.26,6.4
5.28,-80.4
5.3,-163.4
5.32,-85.9
5.34,-96.1
5.36,-39.6
5.38,-14.7
5.4,31.9
5.42,64.8
5.44,87.6
5.46,47.2
5.48,19.8
5.5,-2.7
5.52,29.2
5.54,44.5
5.56,78.5
5.58,103.3
5.6,135.2
5.62,160.6
5.64,186.1
5.66,128.1
5.68,64
5.7,20.4
5.72,31.4
5.74,37.3
5.76,49.6
5.78,23.5
5.8,-8.4
5.82,-16.8
5.84,-11.3
5.86,-22.9
5.88,-24.8
5.9,-15.7
5.92,-6.9
5.94,14.7
5.96,37.9
5.98,57.9
6,25.5
6.02,-4.1
6.04,-42.8
6.06,-13.3
6.08,9.5
6.1,23
6.12,-12.9
6.14,-5
6.16,8
6.18,21
6.2,38
6.22,51
6.24,15.7
6.26,-3.2
6.28,-11.1
6.3,0.5
6.32,7.6
6.34,3.5
6.36,-9.5
6.38,-3.6
6.4,-1.6
6.42,3.8
6.44,8.5
6.46,-5.6
6.48,-30.4
6.5,-42.1
6.52,-24.4
6.54,-23.6
6.56,-17.7
6.58,-12.9
6.6,-1.8
6.62,20.3
6.64,-10.8
6.66,-9.1
6.68,-3.4
6.7,-10.6
6.72,-11.1
6.74,-9.9
6.76,-0.2
6.78,7.3
6.8,23.5
6.82,35.5
6.84,70.5
6.86,77.9
6.88,18.4
6.9,-26.3
6.92,-12.4
6.94,-4.2
6.96,15.9
6.98,4.8
7,-21.9
7.02,-46.7
7.04,-42.8
7.06,-21.6
7.08,-4.3
7.1,15.9
7.12,32
7.14,41.9
7.16,12.3
7.18,-16
7.2,-20.4
7.22,-8.2
7.24,-20.6
7.26,-13.7
7.28,-5.5
7.3,5.3
7.32,13.4
7.34,26.6
7.36,23.2
7.38,7.9
7.4,-0.8
7.42,20
7.44,43.5
7.46,49.2
7.48,19.1
7.5,9.2
7.52,-2.2
7.54,-2.1
7.56,5.2
7.58,9.3
7.6,25.5
7.62,36.8
7.64,52.5
7.66,54.1
7.68,42.5
7.7,39.8
7.72,55.9
7.74,75.6
7.76,36.5
7.78,41.1
7.8,9.8
7.82,-20.4
7.84,-24.9
7.86,-40.5
7.88,-41.3
7.9,-47.1
7.92,-43.3
7.94,-45.8
7.96,-5.7
7.98,17.8
8,-20.8
8.02,-49.2
8.04,-53
8.06,-36.2
8.08,-40.5
8.1,-30.8
8.12,-31.6
8.14,-26.5
8.16,-26.5
8.18,-26.9
8.2,-34.5
8.22,-30.9
8.24,-21.7
8.26,-7.8
8.28,8.7
8.3,28.1
8.32,31
8.34,35.8
8.36,34.1
8.38,35.8
8.4,28.7
8.42,30.5
8.44,11.2
8.46,21.4
8.48,13.6
8.5,38.4
8.52,-86.1
8.54,-134.9
8.56,-134.2
8.58,-135.4
8.6,-119.3
8.62,-104.2
8.64,-82.9
8.66,-65.1
8.68,-44.4
8.7,-25.8
8.72,-6
8.74,-9.1
8.76,-18.2
8.78,-14.7
8.8,8.5
8.82,16.3
8.84,5
8.86,26.4
8.88,58.2
8.9,86.7
8.92,120
8.94,169.5
8.96,111.1
8.98,-110
9,-36.6
9.02,-44.5
9.04,-23.6
9.06,-96
9.08,-65.6
9.1,-59.7
9.12,-67
9.14,-55.2
9.16,-2.7
9.18,37.8
9.2,107.2
9.22,166.9
9.24,94.7
9.26,40.8
9.28,66.7
9.3,13.2
9.32,-9.5
9.34,-52
9.36,-82.7
9.38,-115.2
9.4,-115
9.42,-80.3
9.44,-36.9
9.46,2.9
9.48,54.5
9.5,117.8
9.52,161
9.54,-27
9.56,3.4
9.58,-5.6
9.6,2
9.62,14.6
9.64,53.7
9.66,79.8
9.68,-20.5
9.7,-59
9.72,-16.9
9.74,-17.5
9.76,-2.8
9.78,7.4
9.8,38.2
9.82,56.7
9.84,75.3
9.86,80.1
9.88,59.2
9.9,30.4
9.92,2.3
9.94,6.4
9.96,-40.6
9.98,-45.1
10,-7.9
10.02,16.8
10.04,56.7
10.06,9.3
10.08,-5.5
10.1,4.4
10.12,-12.3
10.14,-28.2
10.16,-43.7
10.18,-35.2
10.2,-25.5
10.22,-11.1
10.24,20.5
10.26,51.9
10.28,85.4
10.3,114.4
10.32,73.3
10.34,23.7
10.36,-36.8
10.38,-27.1
10.4,-21.7
10.42,-87.3
10.44,-97.3
10.46,-58.9
10.48,-33.6
10.5,7.7
10.52,25.9
10.54,50.8
10.56,36.1
10.58,8.1
10.6,-5.6
10.62,-20.9
10.64,-31.7
10.66,-23.8
10.68,-37.6
10.7,-55
10.72,-72.2
10.74,-80.3
10.76,-52.3
10.78,-34
10.8,-1.1
10.82,6.5
10.84,-3.7
10.86,-0.5
10.88,-16.8
10.9,-41
10.92,-8
10.94,7.9
10.96,37.4
10.98,61.5
11,66.5
11.02,25.4
11.04,-5.7
11.06,-47.4
11.08,-35.6
11.1,-24.3
11.12,-4.8
11.14,12.6
11.16,37.9
11.18,24.1
11.2,-22.7
11.22,-42.8
11.24,-67.9
11.26,-66.1
11.28,-59
11.3,-51.3
11.32,-40.8
11.34,-30.9
11.36,-26.6
11.38,-54.1
11.4,-62.8
11.42,-90.8
11.44,-110.7
11.46,-88.1
11.48,-77
11.5,-58.2
11.52,-47.3
11.54,-33.3
11.56,-19.9
11.58,2
11.6,21.1
11.62,43.2
11.64,61.3
11.66,76.7
11.68,93.3
11.7,106.6
11.72,113
11.74,118.7
11.76,124.7
11.78,133.4
11.8,159.4
11.82,179.7
11.84,203.7
11.86,123.6
11.88,44.2
11.9,-14
11.92,-66.6
11.94,-55.5
11.96,-69.3
11.98,-98.4
12,-124.6
12.02,-117.9
12.04,-105
12.06,-92
12.08,-74.3
12.1,-80.9
12.12,-85
12.14,-86
12.16,-86.3
12.18,-87.3
12.2,-86.8
12.22,-88.5
12.24,-53.7
12.26,5.2
12.28,21.5
12.3,24.5
12.32,58
12.34,31.4
12.36,23.6
12.38,48.5
12.4,58.9
12.42,52.5
12.44,35.5
12.46,19.7
12.48,19.9
12.5,49.2
12.52,34.3
12.54,28.8
12.56,43.2
12.58,23.9
12.6,8.8
12.62,7.7
12.64,-14.8
12.66,-7.7
12.68,-1.9
12.7,7.5
12.72,4.4
12.74,-14.5
12.76,-31.6
12.78,-24.1
12.8,-2.8
12.82,18.2
12.84,42.6
12.86,43.9
12.88,51.2
12.9,46.6
12.92,47.9
12.94,19.3
12.96,22.2
12.98,27.4
13,39.3
13.02,50.4
13.04,57.7
13.06,58.8
13.08,82.2
13.1,79.7
13.12,94.9
13.14,34.5
13.16,4.5
13.18,-12.3
13.2,-34.7
13.22,-42.6
13.24,-41.6
13.26,-27.5
13.28,-27
13.3,7.4
13.32,42.8
13.34,-23.1
13.36,-38.7
13.38,-8.3
13.4,13.9
13.42,44.5
13.44,2.7
13.46,-69.7
13.48,-79.6
13.5,-25.1
13.52,-13.5
13.54,7.9
13.56,-11.5
13.58,-25.1
13.6,-33.3
13.62,-26.9
13.64,-30.1
13.66,-20
13.68,-6.7
13.7,-3.8
13.72,10.5
13.74,29.6
13.76,34.4
13.78,95.7
13.8,89.8
13.82,17.9
13.84,-36.2
13.86,-99.4
13.88,-80.7
13.9,-74.4
13.92,-53.9
13.94,-33
13.96,-12.8
13.98,3.1
14,14.8
14.02,50.8
14.04,-2.2
14.06,-48.9
14.08,-35.8
14.1,-69.1
14.12,-51.6
14.14,-37.1
14.16,8.8
14.18,63.2
14.2,84.1
14.22,127.6
14.24,138.8
14.26,119.3
14.28,75.1
14.3,22.5
14.32,-8.8
14.34,-22.7
14.36,7.4
14.38,18.1
14.4,54.4
14.42,39.9
14.44,4.5
14.46,-8.2
14.48,-18.5
14.5,-2
14.52,0.6
14.54,-11.7
14.56,-21
14.58,-30.3
14.6,-51.2
14.62,-72.7
14.64,-57.9
14.66,-26.6
14.68,-17.8
14.7,4
14.72,9.8
14.74,13.7
14.76,22.1
14.78,43.7
14.8,9.1
14.82,-54.8
14.84,-55.5
14.86,-24.3
14.88,-8.1
14.9,25
14.92,41
14.94,18.2
14.96,-2.7
14.98,-24.3
15,-1.5
15.02,24.7
15.04,48.2
15.06,78.3
15.08,62.2
15.1,33.1
15.12,-1.4
15.14,-19.5
15.16,-24.7
15.18,-21.2
15.2,-11
15.22,5
15.24,24.1
15.26,-3.4
15.28,-21.6
15.3,-47.1
15.32,-36.3
15.34,-19.5
15.36,-1.8
15.38,17
15.4,-8
15.42,0.5
15.44,23
15.46,37.4
15.48,60.1
15.5,51.6
15.52,43.2
15.54,34.4
15.56,50.5
15.58,65.3
15.6,68.3
15.62,17.2
15.64,-17
15.66,-52.7
15.68,-66.4
15.7,-38.7
15.72,-22.2
15.74,-3.3
15.76,11.9
15.78,-12.8
15.8,-35.1
15.82,-51.4
15.84,-33.5
15.86,-21.8
15.88,-1.2
15.9,14.2
15.92,7
15.94,-6.3
15.96,-12
15.98,-32.2
16,-34.6
16.02,-9.1
16.04,7.3
16.06,30.9
16.08,47.2
16.1,60.3
16.12,57.6
16.14,33
16.16,-7.3
16.18,-77.7
16.2,-60.8
16.22,-43.8
16.24,-20.9
16.26,3.1
16.28,35
16.3,29.3
16.32,12.1
16.34,33.8
16.36,31.7
16.38,25.4
16.4,20.6
16.42,19.8
16.44,17.4
16.46,2.1
16.48,-14.4
16.5,-34.3
16.52,-33.9
16.54,-14.5
16.56,-2.8
16.58,17
16.6,-9.6
16.62,-25.5
16.64,-27.9
16.66,-38.8
16.68,-24.2
16.7,-21.5
16.72,-18.2
16.74,-17.4
16.76,-3.8
16.78,-2.7
16.8,-18.5
16.82,-12.3
16.84,8.7
16.86,34.3
16.88,69.5
16.9,91
16.92,85.3
16.94,76
16.96,51.3
16.98,18.6
17,1.5
17.02,-19
17.04,-15.1
17.06,-7.3
17.08,2.1
17.1,12.9
17.12,21.5
17.14,2.4
17.16,-12.4
17.18,-32.9
17.2,-51.9
17.22,-70.8
17.24,-57.9
17.26,-46.2
17.28,-30.7
17.3,-14.5
17.32,-0.9
17.34,-18
17.36,-31.8
17.38,-46.5
17.4,-39.1
17.42,-34.5
17.44,-31.6
17.46,-43.5
17.48,-49.1
17.5,-47.5
17.52,-42
17.54,-36.1
17.56,-27.7
17.58,-25.8
17.6,-13.9
17.62,-6.8
17.64,50.7
17.66,72.2
17.68,87.8
17.7,78.2
17.72,76.5
17.74,43.9
17.76,8
17.78,1.3
17.8,-12.6
17.82,-1.5
17.84,3
17.86,10.4
17.88,10.4
17.9,19.3
17.92,20.5
17.94,7.4
17.96,-5.6
17.98,-7.2
18,7
18.02,10.6
18.04,14.7
18.06,-0.9
18.08,-15.9
18.1,-18.7
18.12,-0.7
18.14,15.5
18.16,10.5
18.18,-11.5
18.2,-30.2
18.22,-30.9
18.24,-9.5
18.26,-5.8
18.28,0.4
18.3,2
18.32,5
18.34,5.7
18.36,9.7
18.38,13.4
18.4,17.7
18.42,21.8
18.44,26.1
18.46,30.2
18.48,34.6
18.5,38.6
18.52,47.4
18.54,39.3
18.56,23.8
18.58,11.5
18.6,-7.9
18.62,-12.4
18.64,5.4
18.66,2.7
18.68,-25
18.7,-56.6
18.72,-63
18.74,-59.1
18.76,-41.3
18.78,-6.8
18.8,27.2
18.82,27.7
18.84,-2.1
18.86,-6
18.88,-11
18.9,-22.1
18.92,-41.6
18.94,-51.9
18.96,-22.2
18.98,3
19,7.9
19.02,13.9
19.04,17.1
19.06,25.3
19.08,32.3
19.1,39.1
19.12,16.4
19.14,-13.6
19.16,-32.3
19.18,-29.1
19.2,-28.7
19.22,-30.4
19.24,-33.9
19.26,-24.5
19.28,-7.6
19.3,12.5
19.32,37.6
19.34,40.2
19.36,24.5
19.38,15.6
19.4,-4
19.42,-15.3
19.44,-28.9
19.46,-31.6
19.48,-11.1
19.5,9.4
19.52,33.5
19.54,57.6
19.56,42.4
19.58,14.3
19.6,-0.7
19.62,-13.5
19.64,-27
19.66,-34.1
19.68,-35.7
19.7,-39.6
19.72,-40.2
19.74,-48.8
19.76,-48
19.78,-40.6
19.8,-40.7
19.82,-35.1
19.84,-18.7
19.86,-5.7
19.88,4.4
19.9,-1.9
19.92,-7.2
19.94,-16.9
19.96,-11.5
19.98,12.6
20,35.8
20.02,65.4
20.04,71.6
20.06,76.2
20.08,73.9
20.1,62.8
20.12,48.4
20.14,26.4
20.16,-4.4
20.18,-28.8
20.2,-38.4
20.22,-49.2
20.24,-42.8
20.26,-41.6
20.28,-27.6
20.3,-5.2
20.32,23.7
20.34,42.6
20.36,60.4
20.38,45.2
20.4,28.4
20.42,12.6
20.44,-5.4
20.46,-27.5
20.48,-42.3
20.5,-17.5
20.52,0.1
20.54,25.4
20.56,48.1
20.58,64.1
20.6,55.4
20.62,41.3
20.64,18.4
20.66,-4.8
20.68,-30.3
20.7,-53.1
20.72,-70.8
20.74,-92.8
20.76,-86.3
20.78,-63.1
20.8,-37.6
20.82,8.7
20.84,30.9
20.86,58.9
20.88,61.4
20.9,38.5
20.92,35.1
20.94,31.1
20.96,24.6
20.98,1.9
21,-19.8
21.02,-15.8
21.04,-1.5
21.06,9.9
21.08,28.6
21.1,40.8
21.12,56.3
21.14,53.1
21.16,31.4
21.18,16.5
21.2,-2.4
21.22,-18.9
21.24,-27.6
21.26,-37.1
21.28,-45
21.3,-53.4
21.32,-48.3
21.34,-37.9
21.36,-29.6
21.38,-19.6
21.4,-18.4
21.42,-15.9
21.44,-11.9
21.46,-5.3
21.48,0.2
21.5,5.9
21.52,-2.3
21.54,-11.2
21.56,-20.5
21.58,-32.2
21.6,-38.8
21.62,-34.1
21.64,-28.7
21.66,-32.8
21.68,-40.7
21.7,-48.7
21.72,-56.3
21.74,-64.4
21.76,-55.5
21.78,-44.6
21.8,-0.8
21.82,25.3
21.84,41.1
21.86,64.4
21.88,57.9
21.9,47.4
21.92,38.4
21.94,38.5
21.96,34
21.98,35.7
22,0.8
22.02,-25.4
22.04,-46
22.06,-47.1
22.08,-22.2
22.1,-6.5
22.12,16.4
22.14,35.5
22.16,50.4
22.18,37.1
22.2,28
22.22,15.8
22.24,4.1
22.26,-2.7
22.28,2.1
22.3,4.4
22.32,9.9
22.34,13.5
22.36,9.4
22.38,5.8
22.4,2.2
22.42,-3.1
22.44,-3.1
22.46,0.4
22.48,-2.5
22.5,-12.4
22.52,-23.5
22.54,-40.6
22.56,-53
22.58,-70.1
22.6,-32.3
22.62,-5.2
22.64,9.4
22.66,32.8
22.68,47.8
22.7,50.9
22.72,35.8
22.74,34.2
22.76,30.6
22.78,28.5
22.8,26.3
22.82,16.8
22.84,-0.5
22.86,-21.2
22.88,-36.5
22.9,-31
22.92,-29.7
22.94,-28
22.96,-23.7
22.98,-26.6
23,-30.8
23.02,-36.6
23.04,-35.7
23.06,-30.8
23.08,-19.3
23.1,1.9
23.12,19.6
23.14,16
23.16,12.9
23.18,14
23.2,11
23.22,10.8
23.24,9.2
23.26,8.9
23.28,1.9
23.3,-13.1
23.32,-24.7
23.34,-43.6
23.36,-43.2
23.38,-30
23.4,-19.2
23.42,-4.8
23.44,9.7
23.46,16.8
23.48,14.8
23.5,17.3
23.52,7.8
23.54,-5.8
23.56,-21.5
23.58,-23.4
23.6,6
23.62,26.2
23.64,26.9
23.66,8.4
23.68,-4.1
23.7,-22.7
23.72,-7.6
23.74,3.1
23.76,18.2
23.78,31
23.8,47.9
23.82,45.9
23.84,16.6
23.86,-5.8
23.88,-39.6
23.9,-44.4
23.92,-24.1
23.94,-10.1
23.96,21.7
23.98,26.1
24,12.1
24.02,0.8
24.04,-16.8
24.06,-38.2
24.08,-56.6
24.1,-78.1
24.12,-61.9
24.14,-25.6
24.16,4.4
24.18,45.6
24.2,78.3
24.22,110.3
24.24,95.3
24.26,48.9
24.28,12.2
24.3,-38.7
24.32,-84.6
24.34,-122.6
24.36,-86.4
24.38,-61.6
24.4,-22.8
24.42,15
24.44,47.7
24.46,32.3
24.48,24.8
24.5,9.5
24.52,22.7
24.54,33.8
24.56,50.5
24.58,59.4
24.6,51.9
24.62,55.2
24.64,59.5
24.66,61.7
24.68,59.3
24.7,46.6
24.72,15.8
24.74,-7.7
24.76,-23
24.78,-30.3
24.8,-32.9
24.82,-36.4
24.84,-49
24.86,-66
24.88,-72.3
24.9,-78.4
24.92,-84.6
24.94,-56.6
24.96,-20.9
24.98,12.8
25,38.1
25.02,48.8
25.04,36.3
25.06,25
25.08,15.8
25.1,37.7
25.12,59.4
25.14,63
25.16,37
25.18,21.7
25.2,4
25.22,2.3
25.24,-6.2
25.26,-28.6
25.28,-38
25.3,-45.7
25.32,-50.5
25.34,-77.7
25.36,-62.8
25.38,-18.9
25.4,18.9
25.42,50.9
25.44,74.4
25.46,74.9
25.48,56.2
25.5,45.5
25.52,52.5
25.54,63.5
25.56,73.1
25.58,85.1
25.6,92.7
25.62,97.5
25.64,92.9
25.66,81.4
25.68,26.4
25.7,-28.9
25.72,-90.1
25.74,-136.4
25.76,-85.9
25.78,-46.8
25.8,8.1
25.82,59.4
25.84,82.3
25.86,55.6
25.88,30.1
25.9,-1.1
25.92,-38
25.94,-34.7
25.96,-2
25.98,18
26,63.3
26.02,101.3
26.04,112.2
26.06,110.7
26.08,94
26.1,80.5
26.12,60.8
26.14,50.8
26.16,20.6
26.18,-20.1
26.2,-57.2
26.22,-102.1
26.24,-133.2
26.26,-122.5
26.28,-120.7
26.3,-100.6
26.32,-76.2
26.34,-54.8
26.36,-48.9
26.38,-40.5
26.4,-29.1
26.42,-17.6
26.44,-14.1
26.46,-9.8
26.48,-5
26.5,1.9
26.52,8
26.54,3.5
26.56,-2.9
26.58,-6.1
26.6,-3.4
26.62,-1.3
26.64,7.6
26.66,20.5
26.68,32.7
26.7,45
26.72,57.7
26.74,56.2
26.76,46.4
26.78,30
26.8,10.7
26.82,-0.4
26.84,-3.3
26.86,-6.9
26.88,-10.1
26.9,-20.1
26.92,-18.8
26.94,2.5
26.96,13.4
26.98,24.3
27,26.6
27.02,26.5
27.04,15.5
27.06,-1.9
27.08,-9.5
27.1,-21.6
27.12,-16.7
27.14,-12
27.16,-6.4
27.18,-12.9
27.2,-16.3
27.22,-19.3
27.24,-24.2
27.26,-23.6
27.28,-17.5
27.3,-12.4
27.32,-18.5
27.34,-26.5
27.36,-32.3
27.38,-33.6
27.4,-45.4
27.42,-43
27.44,-33.4
27.46,-21.3
27.48,-6.9
27.5,3
27.52,0.3
27.54,-9.3
27.56,-8.9
27.58,-15
27.6,-16.4
27.62,-23.8
27.64,-32.3
27.66,-42.1
27.68,-45.7
27.7,-39.7
27.72,-34.9
27.74,-25.8
27.76,-17.2
27.78,-2
27.8,15.6
27.82,28.4
27.84,36.2
27.86,35.4
27.88,26.9
27.9,10.1
27.92,-4.5
27.94,-12.5
27.96,-24.5
27.98,-22.9
28,-12.6
28.02,-6.8
28.04,1.8
28.06,9.3
28.08,20
28.1,28.6
28.12,36.5
28.14,31.1
28.16,18.1
28.18,2.4
28.2,-15.6
28.22,-31.9
28.24,-21.9
28.26,-11.8
28.28,1.5
28.3,15.3
28.32,29.8
28.34,24.3
28.36,13.6
28.38,10.2
28.4,2.4
28.42,-1
28.44,-2.3
28.46,-3.6
28.48,-4.8
28.5,-8.9
28.52,-15.5
28.54,-14.8
28.56,-7.6
28.58,0
28.6,-2
28.62,-14.8
28.64,-22.5
28.66,-37.4
28.68,-36.5
28.7,-25.1
28.72,-16.4
28.74,-1.4
28.76,15.3
28.78,30.2
28.8,39.3
28.82,40.6
28.84,38.5
28.86,32.9
28.88,18.3
28.9,12.5
28.92,7
28.94,-0.1
28.96,-6.8
28.98,-13
29,-12.8
29.02,-11.5
29.04,-10.2
29.06,-8.4
29.08,-14.1
29.1,-20.5
29.12,-26.9
29.14,-35
29.16,-35.9
29.18,-29.7
29.2,-22.7
29.22,1.8
29.24,9.9
29.26,20.3
29.28,25.6
29.3,19.9
29.32,16
29.34,10.7
29.36,15.6
29.38,19.8
29.4,24.2
29.42,14.1
29.44,5.5
29.46,-6.6
29.48,-9.7
29.5,-2.6
29.52,1.6
29.54,10
29.56,9.4
29.58,3.9
29.6,0
29.62,-6.6
29.64,-9.9
29.66,-10.9
29.68,-11.5
29.7,-13.1
29.72,-16.8
29.74,-19.9
29.76,-10.4
29.78,-1
29.8,5.5
29.82,12.9
29.84,20
29.86,19.9
29.88,16.9
29.9,14.3
29.92,10.9
29.94,12.8
29.96,15.2
29.98,13.7
30,11.7
30.02,9.7
30.04,6
30.06,-2.8
30.08,-5
30.1,-8.4
30.12,-17.8
30.14,-32.1
30.16,-42
30.18,-51.8
30.2,-47.2
30.22,-39.4
30.24,-29
30.26,-11
30.28,5
30.3,13.2
30.32,15.7
30.34,17.7
30.36,19.5
30.38,25.5
30.4,33.1
30.42,32.8
30.44,25.2
30.46,17.3
30.48,4.5
30.5,-8.5
30.52,-19
30.54,-22.9
30.56,-30.4
30.58,-27.7
30.6,-22.7
30.62,-17.4
30.64,-12.1
30.66,-12.6
30.68,-12.9
30.7,-8
30.72,-2.6
30.74,3.9
30.76,6.5
30.78,5.5
30.8,5
30.82,6.4
30.84,12.6
30.86,17.9
30.88,24.3
30.9,30.7
30.92,29.8
30.94,25.1
30.96,21.6
30.98,16.3
31,19.2
31.02,23.4
31.04,28.2
31.06,30.1
31.08,19.6
31.1,10.6
31.12,-3.9
31.14,-16.3
31.16,-32.2
31.18,-33.5
31.2,-21.9
31.22,-14.8
31.24,-1
31.26,1.1
31.28,-5.3
31.3,-10.1
31.32,-12.6
31.34,-14.3
31.36,-12.9
31.38,-10.4
31.4,-7.1
31.42,-1.8
31.44,3.3
31.46,8.5
31.48,15.8
31.5,23.9
31.52,31.9
31.54,34.1
31.56,31.8
31.58,21.3
31.6,7.3
31.62,0.9
31.64,-1.5
31.66,-4.7
31.68,-7.5
31.7,-12.1
31.72,-15.6
31.74,-11.6
31.76,-5.6
31.78,-0.6
31.8,-0.3
31.82,-0.3
31.84,1.4
31.86,4.6
31.88,7.2
31.9,8.6
31.92,9.8
31.94,12.4
31.96,14.7
31.98,17.2
32,20
32.02,25.6
32.04,31.7
32.06,28.7
32.08,23.1
32.1,10.5
32.12,-0.1
32.14,-1.1
32.16,-3.6
32.18,-5.3
32.2,-8.3
32.22,-5.2
32.24,-0.7
32.26,3.7
32.28,9.6
32.3,15.5
32.32,20.5
32.34,14.3
32.36,7.3
32.38,2.1
32.4,-2.2
32.42,-7
32.44,-10
32.46,-7.5
32.48,-5.4
32.5,-2.9
32.52,-1.5
32.54,0
32.56,-0.1
32.58,-0.6
32.6,-1.1
32.62,-1
32.64,-0.3
32.66,0.1
32.68,1.6
32.7,5.3
32.72,8.6
32.74,12.6
32.76,15.4
32.78,13.1
32.8,10.2
32.82,5.6
32.84,0.6
32.86,-4
32.88,-9.8
32.9,-9.6
32.92,-4.6
32.94,-0.7
32.96,3.1
32.98,4.5
33,6.8
33.02,5.2
33.04,4.5
33.06,1.8
33.08,-0.2
33.1,-2.9
33.12,-2.8
33.14,-1.7
33.16,-0.6
33.18,-0.5
33.2,-1.7
33.22,-2.2
33.24,-3.6
33.26,-3.2
33.28,-0.7
33.3,1.4
33.32,4.1
33.34,6.5
33.36,6.3
33.38,5.2
33.4,0.6
33.42,-4.5
33.44,-7.6
33.46,-6.4
33.48,-6.5
33.5,-10.7
33.52,-16.1
33.54,-17.4
33.56,-11.7
33.58,-7
33.6,-3.6
33.62,-2.5
33.64,-0.2
33.66,0.4
33.68,3.6
33.7,8.2
33.72,11.5
33.74,7
33.76,3.8
