t,acc
9.58,-56.3
9.6,-65.7
9.62,-83.1
9.64,-106.3
9.66,-112.3
9.68,-107.8
9.7,-80.2
9.72,-32.5
9.74,18.2
9.76,68.6
9.78,122.8
9.8,143.9
9.82,99.4
9.84,48.4
9.86,-14.7
9.88,-41.8
9.9,-20
9.92,11.7
9.94,44.8
9.96,81.2
9.98,92.6
10,63.4
10.02,29.1
10.04,-9.9
10.06,-38.7
10.08,-33.1
10.1,-25.9
10.12,-26.3
10.14,-21.5
10.16,1.1
10.18,8.8
10.2,-1.2
10.22,-11.7
10.24,-15.4
10.26,-24.5
10.28,-45.1
10.3,-65.2
10.32,-52.5
10.34,-26.9
10.36,-0.4
10.38,7.1
10.4,3.5
10.42,-11.2
10.44,-25.9
10.46,-16.1
10.48,11.6
10.5,22.5
10.52,8.6
10.54,-7.1
10.56,-11.7
10.58,-3.7
10.6,12.6
10.62,29.5
10.64,48
10.66,58.8
10.68,35.9
10.7,3.7
10.72,-31.8
10.74,-61.8
10.76,-61.4
10.78,-50.8
10.8,-43.5
10.82,-40.8
10.84,-31.6
10.86,-16
10.88,0
10.9,16.9
10.92,33.2
10.94,49.8
10.96,66.7
10.98,78.3
11,53.6
11.02,18.7
11.04,-18.5
11.06,-28.5
11.08,-19.4
11.1,-13.8
11.12,-13.4
11.14,-10.8
11.16,-7.1
11.18,-10.3
11.2,-8.3
11.22,4.2
11.24,18
11.26,9
11.28,-9.9
11.3,-30.8
11.32,-41.4
11.34,-44.1
11.36,-43.7
11.38,-37.8
11.4,-11.3
11.42,18.9
11.44,50
11.46,41.8
11.48,16
11.5,-14.4
11.52,-11.3
11.54,17.1
11.56,50.4
11.58,70.9
11.6,46.3
11.62,12.9
11.64,-26.5
11.66,-45.6
11.68,-43.8
11.7,-42.8
11.72,-40.6
11.74,-39.6
11.76,-38.9
11.78,-45.1
11.8,-44.6
11.82,-18
11.84,15.4
11.86,52.2
11.88,77.7
11.9,63.8
11.92,38.8
11.94,15.6
11.96,1.6
11.98,-9.5
12,0.5
12.02,15.6
12.04,33.5
12.06,38.2
12.08,29.3
12.1,20
12.12,8.1
12.14,9.2
12.16,24.3
12.18,40.5
12.2,55.1
12.22,60.5
12.24,53.5
12.26,42.7
12.28,20.9
12.3,-9.7
12.32,-34
12.34,-38.7
12.36,-41
12.38,-50.4
12.4,-47.7
12.42,-28.7
12.44,-9.4
12.46,12.8
12.48,32.4
12.5,55.2
12.52,49.8
12.54,18
12.56,-17.7
12.58,-43.8
12.6,-30.5
12.62,-10.8
12.64,15.1
12.66,22.1
12.68,11.7
12.7,-2.5
12.72,-9.3
12.74,-2.4
12.76,6
12.78,12.6
12.8,16
12.82,19.9
12.84,22.8
12.86,26.8
12.88,27.6
12.9,14.2
12.92,-4.6
12.94,-12.3
12.96,-8.7
12.98,-6.2
13,-17.8
13.02,-35.8
13.04,-53.4
13.06,-73
13.08,-81.9
13.1,-80
13.12,-78.6
13.14,-87
13.16,-85.8
13.18,-65.7
13.2,-42.8
13.22,-18.5
13.24,6
13.26,26.4
13.28,19.5
13.3,6.9
13.32,13.2
13.34,27
13.36,36.2
13.38,39.3
13.4,54.2
13.42,77.2
13.44,91.5
13.46,74.9
13.48,51.6
13.5,25.4
13.52,-0.4
13.54,-22
13.56,-18.5
13.58,-9
13.6,2.7
13.62,15.2
13.64,26.1
13.66,12.8
13.68,-5.6
13.7,-26.9
13.72,-47.1
13.74,-68.1
13.76,-89
13.78,-104.1
13.8,-102.6
13.82,-95.4
13.84,-71.9
13.86,-45.4
13.88,-17.8
13.9,-2.6
13.92,6.2
13.94,3.4
13.96,-1.1
13.98,-7.9
14,-9.1
14.02,-3.7
14.04,5.8
14.06,26.9
14.08,51.2
14.1,76.9
14.12,95.6
14.14,87.5
14.16,73
14.18,56.6
14.2,50.9
14.22,46.5
14.24,34.9
14.26,20
14.28,16.4
14.3,20.7
14.32,24.1
14.34,6.2
14.36,-22.7
14.38,-51.8
14.4,-84.1
14.42,-97.8
14.44,-85
14.46,-69.5
14.48,-53.6
14.5,-46.5
14.52,-32
14.54,-13.7
14.56,7
14.58,26
14.6,47.9
14.62,55.8
14.64,41.1
14.66,21
14.68,13.1
14.7,23.4
14.72,24.8
14.74,17.3
14.76,16
14.78,27
14.8,38.6
14.82,50.9
14.84,41.7
14.86,22.6
14.88,1.7
14.9,-7.6
14.92,-10.1
14.94,-17.6
14.96,-28.4
14.98,-25.6
15,-14.3
15.02,-6.2
15.04,-0.1
15.06,10.9
15.08,16.8
15.1,5.5
15.12,-10.4
15.14,-26.5
15.16,-34
15.18,-30.5
15.2,-13.2
15.22,9.6
15.24,20.2
15.26,15.5
15.28,10.7
15.3,5.8
15.32,2.1
15.34,-1.3
15.36,-1
15.38,-1
15.4,-1.5
15.42,1.9
15.44,9.6
15.46,18.1
15.48,23.2
15.5,14.4
15.52,2.2
15.54,-11.2
15.56,-23.5
15.58,-30.2
15.6,-22.9
15.62,-13.1
15.64,-1.1
15.66,4.2
15.68,-1.2
15.7,-9
15.72,-17
15.74,-24.2
15.76,-26.4
15.78,-19.1
15.8,-9.5
15.82,0.6
15.84,10.9
15.86,20.9
15.88,29.7
15.9,25.4
15.92,17.8
15.94,7.9
15.96,6.8
15.98,14.2
16,22.9
16.02,20
16.04,9.7
16.06,-3.6
16.08,-21.9
16.1,-44.1
16.12,-47.8
16.14,-30.6
16.16,-11.1
16.18,6.5
16.2,5.7
16.22,0.1
16.24,-4.6
16.26,-5.7
16.28,-1.4
16.3,3.4
16.32,3.1
16.34,3.7
16.36,3.4
16.38,-1.4
16.4,-7.5
16.42,-14
16.44,-19.6
16.46,-24.7
16.48,-26.8
16.5,-18.1
16.52,-5.4
16.54,2.1
16.56,0.1
16.58,-0.5
16.6,3.7
16.62,10.6
16.64,17
16.66,23.7
16.68,13.7
16.7,-4.5
16.72,-26.3
16.74,-33.3
16.76,-14.7
16.78,6.4
16.8,31.1
16.82,40.4
16.84,35.8
16.86,29.6
16.88,19.6
16.9,7.4
16.92,-5.2
16.94,-18.3
16.96,-28.4
16.98,-25.4
17,-18.8
17.02,-13.9
17.04,-10.8
17.06,-7.8
17.08,-4.9
17.1,-3.2
17.12,-6.2
17.14,-8.3
17.16,-4.5
17.18,0.3
17.2,5.8
17.22,3.7
17.24,-2.9
17.26,-8.8
17.28,-10.4
17.3,-10
17.32,-4.2
17.34,7.7
17.36,20.3
17.38,22.8
17.4,17.5
17.42,12.9
17.44,10.9
17.46,9.2
17.48,8.2
17.5,7
17.52,9
17.54,15.6
17.56,22.1
17.58,26.7
17.6,30.7
17.62,24.6
17.64,13.7
17.66,2.2
17.68,-1.1
17.7,2.2
17.72,7.4
17.74,8.4
17.76,5.3
17.78,1.8
17.8,-1.8
17.82,0.3
17.84,5
17.86,10.8
17.88,10.7
17.9,3.5
17.92,-4
17.94,-12.3
17.96,-20.7
17.98,-29.6
18,-25.7
18.02,-17.2
18.04,-7.5
18.06,-4.5
18.08,-8
18.1,-10.2
18.12,-10.5
18.14,-10.6
18.16,-14.4
18.18,-18
18.2,-18.5
18.22,-19.7
18.24,-22.8
18.26,-28.8
18.28,-29.5
18.3,-26.6
18.32,-25.4
18.34,-24.6
18.36,-17.4
18.38,-4.7
18.4,9
18.42,22.6
18.44,36.9
18.46,50
18.48,64.3
18.5,60.7
18.52,41.7
18.54,21.1
18.56,-1
18.58,-19.5
18.6,-17.7
18.62,-9.8
18.64,0
18.66,7.2
18.68,10.2
18.7,4.4
18.72,-6.6
18.74,-14.1
18.76,-15.9
18.78,-17.1
18.8,-19.6
18.82,-29.3
18.84,-39
18.86,-51.1
18.88,-52.6
18.9,-39.6
18.92,-25.1
18.94,-8.9
18.96,-3.2
18.98,-8.9
19,-8
19.02,0.7
19.04,10.6
19.06,20.8
19.08,31.3
19.1,39
19.12,33.9
19.14,25.4
19.16,26.1
19.18,35.8
19.2,45.4
19.22,57
19.24,55.4
19.26,41.6
19.28,26.4
19.3,10.5
19.32,-5.8
19.34,-17.3
19.36,-18.2
19.38,-17.5
19.4,-16.4
19.42,-14.7
19.44,-6.2
19.46,4.9
19.48,14.3
19.5,17.4
19.52,12.7
19.54,3.7
19.56,-5.8
19.58,-11.4
19.6,-13.2
19.62,-13.4
19.64,-12.4
19.66,-11.5
19.68,-10.4
19.7,-9.5
19.72,-8.3
19.74,-8.1
19.76,-10.5
19.78,-14.7
19.8,-17.4
19.82,-12.1
19.84,-3.2
19.86,-1
19.88,-10
19.9,-20.1
19.92,-15.7
19.94,0.7
19.96,17.6
19.98,35
20,41.1
20.02,42.4
20.04,32.1
20.06,19.5
20.08,5.7
20.1,4.9
20.12,12.2
20.14,21
20.16,25.9
20.18,27.6
20.2,27.9
20.22,27.2
20.24,22.9
20.26,10.2
20.28,-3.1
20.3,-18.4
20.32,-24.4
20.34,-20.7
20.36,-15.6
20.38,-7.7
20.4,0.3
20.42,8.5
20.44,17.1
20.46,25.5
20.48,34.5
20.5,33.8
20.52,22.7
20.54,11
20.56,-1.8
20.58,-14.1
20.6,-26.5
20.62,-35.7
20.64,-43.9
20.66,-52.2
20.68,-57.8
20.7,-47.4
20.72,-32.1
20.74,-15.8
20.76,0.6
20.78,6.9
20.8,3.1
20.82,0.3
20.84,-2.3
20.86,-4.1
20.88,-5.7
20.9,0.9
20.92,10.2
20.94,19.7
20.96,25.9
20.98,30.9
21,36.4
21.02,35.6
21.04,24.2
21.06,11.7
21.08,-1.7
21.1,-11.7
21.12,-19.7
21.14,-17
21.16,-10.5
21.18,-6.3
21.2,-4.4
21.22,-5.7
21.24,-10.9
21.26,-16.7
21.28,-19.3
21.3,-14.7
21.32,-9.1
21.34,-5.1
21.36,-4
21.38,-5.3
21.4,-8.2
21.42,-9.7
21.44,-4.3
21.46,3.4
21.48,8.3
21.5,11
21.52,16
21.54,24.1
21.56,32.2
21.58,40.8
21.6,39.6
21.62,29.3
21.64,18.4
21.66,6.5
21.68,-4.9
21.7,-15.4
21.72,-9.1
21.74,1.3
21.76,14.6
21.78,17.6
21.8,5.1
21.82,-10.3
21.84,-23.4
21.86,-27
21.88,-25.9
21.9,-23.4
21.92,-19.7
21.94,-9.2
21.96,4.9
21.98,12.1
22,9.2
22.02,4.9
22.04,0
22.06,-8.3
22.08,-10.1
22.1,0.1
22.12,10.9
22.14,23.8
22.16,31.1
22.18,29
22.2,24.3
22.22,17.5
22.24,10.3
22.26,3
22.28,-4.2
22.3,-9.3
22.32,-12.7
22.34,-15.2
22.36,-16.8
22.38,-17.2
22.4,-16.5
22.42,-15.7
22.44,-15.7
22.46,-20
22.48,-25.4
22.5,-29.6
22.52,-32
22.54,-33.9
22.56,-33.1
22.58,-27.8
22.6,-21
22.62,-19.6
22.64,-20.9
22.66,-23.1
22.68,-20.6
22.7,-13.9
22.72,-7.2
22.74,-3.6
22.76,-1.4
22.78,1.3
22.8,9.4
22.82,19.6
22.84,29.8
22.86,40.7
22.88,47.8
22.9,49.7
22.92,50.2
22.94,49.3
22.96,46.5
22.98,40.9
23,35.4
23.02,29.4
23.04,23.4
23.06,16.5
23.08,9.6
23.1,4.7
23.12,8.4
23.14,13.9
23.16,19.3
23.18,12.8
23.2,3.2
23.22,-8.3
23.24,-14.8
23.26,-15.2
23.28,-15.2
23.3,-19
23.32,-23.9
23.34,-29
23.36,-33.4
23.38,-38.3
23.4,-38.7
23.42,-35.1
23.44,-31.1
23.46,-27.9
23.48,-25.2
23.5,-21.9
23.52,-16.7
23.54,-11.4
23.56,-4.7
23.58,2.5
23.6,10.5
23.62,14.4
23.64,11.9
23.66,10.1
23.68,9.8
23.7,11.3
23.72,7.9
23.74,-2.1
23.76,-14
23.78,-20.2
23.8,-15.8
23.82,-8.4
23.84,0.5
23.86,8.8
23.88,17.8
23.9,26.1
23.92,35.1
23.94,34.8
23.96,26.4
23.98,17.3
24,7.3
24.02,-0.2
24.04,-0.9
24.06,-0.4
24.08,-4
24.1,-10.6
24.12,-14.1
24.14,-9.9
24.16,-4
24.18,2.5
24.2,8.5
24.22,7.6
24.24,1.5
24.26,-1.3
24.28,1.1
24.3,4.3
24.32,3.9
24.34,0.2
24.36,-2.5
24.38,-5.2
24.4,-6
24.42,-5.7
24.44,-2.4
24.46,3.8
24.48,10.7
24.5,15.4
24.52,17
24.54,16
24.56,12.1
24.58,8
24.6,4
24.62,0.6
24.64,-5.8
24.66,-17.4
24.68,-21.5
24.7,-13.1
24.72,-1.1
24.74,3.3
24.76,-6.8
24.78,-16.9
24.8,-21.5
24.82,-23.3
24.84,-22.5
24.86,-18.3
24.88,-15.7
24.9,-15.4
24.92,-18.8
24.94,-23.3
24.96,-26.5
24.98,-24.3
25,-17.6
25.02,-9.4
25.04,-1
25.06,7.4
25.08,13.2
25.1,16.1
25.12,20.1
25.14,24.7
25.16,29.6
25.18,26
25.2,17.9
25.22,8.5
25.24,2.5
25.26,2.8
25.28,4.3
25.3,4.7
25.32,1.9
25.34,-0.9
25.36,-5.5
25.38,-11.3
25.4,-9.8
25.42,-5.5
25.44,-2.9
25.46,-1.9
25.48,-1.6
25.5,-3.8
25.52,-5.6
25.54,-7
25.56,-6.2
25.58,-5.7
25.6,-11.3
25.62,-19.4
25.64,-23.3
25.66,-21.7
25.68,-20
25.7,-16.7
25.72,-11.4
25.74,-5.1
25.76,-1.1
25.78,0.5
25.8,1.5
25.82,4.7
25.84,11.7
25.86,18.8
25.88,25.9
25.9,22.5
25.92,15.2
25.94,6.4
25.96,1.6
25.98,1.5
26,1.7
26.02,4.7
26.04,10.3
26.06,14.1
26.08,15.5
26.1,14.4
26.12,12
26.14,12
26.16,11.8
26.18,8.8
26.2,2.7
26.22,-3.8
26.24,-11.1
26.26,-13.4
26.28,-8.2
26.3,-2.6
26.32,4.4
26.34,6.7
26.36,1.4
26.38,-5.5
26.4,-12.7
26.42,-20.2
26.44,-20.5
26.46,-12.8
26.48,-4.8
26.5,3.8
26.52,5.2
26.54,3.6
26.56,1.4
26.58,3
26.6,6.5
26.62,8.9
26.64,5.5
26.66,0.4
26.68,-4.5
26.7,-6.5
26.72,-7.5
26.74,-6.6
26.76,-6.5
26.78,-6.9
26.8,-9.4
26.82,-16.4
26.84,-24.5
26.86,-30.9
26.88,-29.6
26.9,-25.8
26.92,-18.4
26.94,-10.4
26.96,-2
26.98,6.2
27,14.5
27.02,23
27.04,29.6
27.06,23.6
27.08,14.2
27.1,3.4
27.12,-5.8
27.14,-6.6
27.16,-4.1
27.18,-4.1
27.2,-7.8
27.22,-10.9
27.24,-13
27.26,-14
27.28,-13.5
27.3,-13
27.32,-11.9
27.34,-11.5
27.36,-6.9
27.38,1.8
27.4,11.1
27.42,20.8
27.44,27.9
27.46,21.4
27.48,11.8
27.5,0.6
27.52,-0.9
27.54,5.5
27.56,13.4
27.58,18.3
27.6,12.5
27.62,5
27.64,1
27.66,0.1
27.68,2.2
27.7,6.6
27.72,10.9
27.74,10.4
27.76,8.2
27.78,5.4
27.8,0.9
27.82,0.9
27.84,5.2
27.86,10.8
27.88,11.3
27.9,4.5
27.92,-2.6
27.94,-10.7
27.96,-16.2
27.98,-15.6
28,-14
28.02,-8
28.04,1.2
28.06,11.6
28.08,17.9
28.1,17.5
28.12,16
28.14,14.8
28.16,14.9
28.18,14.5
28.2,13.2
28.22,8.8
28.24,-2.7
28.26,-15.2
28.28,-29.2
28.3,-35
28.32,-31.8
28.34,-27.6
28.36,-18.2
28.38,-5.8
28.4,7.2
28.42,19.1
28.44,16.3
28.46,6.8
28.48,-4.1
28.5,-12.7
28.52,-9.7
28.54,-3.3
28.56,3.8
28.58,11.1
28.6,16.5
28.62,12.4
28.64,5.9
28.66,-1.6
28.68,-7.4
28.7,-10.4
28.72,-15
28.74,-22.1
28.76,-28.5
28.78,-29.1
28.8,-28.2
28.82,-24.8
28.84,-16.7
28.86,-7.1
28.88,1.1
28.9,5.4
28.92,8
28.94,13.8
28.96,24.8
28.98,37.2
29,45.8
29.02,42
29.04,35.6
29.06,30.5
29.08,27.5
29.1,20.9
29.12,13.3
29.14,13.3
29.16,15.7
29.18,18.1
29.2,16
29.22,12.3
29.24,9.5
29.26,8.1
29.28,6.8
29.3,5.6
29.32,4.3
29.34,3
29.36,1.6
29.38,0
29.4,-0.1
29.42,2.3
29.44,4.6
29.46,5.7
29.48,4
29.5,-3.6
29.52,-12.4
29.54,-21.3
29.56,-21
29.58,-16.4
29.6,-10.5
29.62,-7.6
29.64,-8.1
29.66,-8.8
29.68,-9
29.7,-8.8
29.72,-9.2
29.74,-9.8
29.76,-10.6
29.78,-13.3
29.8,-17.1
29.82,-16.8
29.84,-13.5
29.86,-9.7
29.88,-5.8
29.9,-1.9
29.92,2
29.94,6
29.96,8.5
29.98,7.6
30,6.2
30.02,4.4
30.04,3.1
30.06,0.6
30.08,-3.7
30.1,-9.2
30.12,-11.3
30.14,-9.5
30.16,-7.4
30.18,-5.8
30.2,-1.4
30.22,5.5
30.24,13.3
30.26,16.9
30.28,12.5
30.3,6.8
30.32,0.4
30.34,-5.3
30.36,-4.2
30.38,1.2
30.4,5.3
30.42,4.6
30.44,3.2
30.46,2.5
30.48,-1.7
30.5,-9.6
30.52,-13.1
30.54,-13.3
30.56,-13
30.58,-13.4
30.6,-13.6
30.62,-10.9
30.64,-6.8
30.66,-2.7
30.68,1.9
30.7,3.8
30.72,-0.1
30.74,-5.7
30.76,-8.7
30.78,-5.1
30.8,-0.4
30.82,4.6
30.84,9.5
30.86,12.6
30.88,11
30.9,9.1
30.92,6
30.94,7.2
30.96,12.9
30.98,19.5
31,24.2
31.02,20.4
31.04,14.6
31.06,8.1
31.08,1.6
31.1,-1.8
31.12,-0.5
31.14,2
31.16,7.2
31.18,7.7
31.2,1.8
31.22,-6.5
31.24,-10.4
31.26,-7.6
31.28,-4.4
31.3,-4.3
31.32,-6.3
31.34,-7.9
31.36,-5.6
31.38,-0.2
31.4,1.9
31.42,-2.8
31.44,-9.1
31.46,-14.9
31.48,-11.8
31.5,-5.6
31.52,0.8
31.54,8.2
31.56,8.5
31.58,-2.6
31.6,-11.5
31.62,-11.2
31.64,-7.3
31.66,-6
31.68,-7.3
31.7,-9.2
31.72,-8.6
31.74,-4.6
31.76,-0.7
31.78,4
31.8,5.4
31.82,4.4
31.84,2.4
31.86,3.4
31.88,9
31.9,14.7
31.92,19.1
31.94,17.8
31.96,9.6
31.98,-1.2
32,-11.5
32.02,-23.2
32.04,-25.6
32.06,-18.4
32.08,-9.9
32.1,-7.5
32.12,-11.4
32.14,-15.3
32.16,-11.5
32.18,-2.9
32.2,6
32.22,15.4
32.24,23.6
32.26,25.3
32.28,19.6
32.3,11.8
32.32,5.4
32.34,0.3
32.36,-5
32.38,-13.2
32.4,-16.4
32.42,-10.8
32.44,-3.3
32.46,3.8
32.48,10.3
32.5,16.6
32.52,24.3
32.54,22.4
32.56,13.6
32.58,4
32.6,-6.1
32.62,-13.9
32.64,-21
32.66,-26.6
32.68,-24.2
32.7,-19.4
32.72,-16.3
32.74,-14.8
32.76,-13.1
32.78,-10
32.8,-5.5
32.82,-3.8
32.84,-4.4
32.86,-5.7
32.88,-5
32.9,-0.5
32.92,4.5
32.94,7.7
32.96,10
32.98,14.3
33,19.8
33.02,20.6
33.04,14.3
33.06,10.2
33.08,6.6
33.1,3.7
33.12,-2.9
33.14,-10.8
33.16,-19.2
33.18,-27.7
33.2,-35.2
33.22,-31
33.24,-21.3
33.26,-11
33.28,0.2
33.3,7.4
33.32,9.8
33.34,12.3
33.36,15.4
33.38,18.1
33.4,18.7
33.42,9.9
33.44,-2.4
33.46,-16
33.48,-24.7
33.5,-22.7
33.52,-18.8
33.54,-14.4
33.56,-15.4
33.58,-17.1
33.6,-18.3
33.62,-16.3
33.64,-9.8
33.66,0
33.68,10.8
33.7,21.7
33.72,32
33.74,31.6
33.76,26.4
33.78,20.3
